z.average.synthesized,z.average.serum,volume.mean.synthesized,volume.mean.serum,number.mean.synthesized,number.mean.serum,intensity.mean.synthesized,intensity.mean.serum,polydispersity.index.synthesized,polydispersity.index.serum,zeta.potential.synthesized,zeta.potential.serum,lspr.index.synthesized,lspr.index.serum,lspr.peak.position.synthesized,serum.density.protot,serum.density.autot,total.spc,num.protein.id,cell.association
56.54,72.3,38.81,52.9,61.14,46.12,61.14,83.14,0.228,0.201,19.01,-5.64,0.283710662,0.274685387,524.03,5.361,235.1789653,2185,121,High
36.7,53.12,34.45,43.83,40.24,39.24,40.24,58.53,0.213,0.178,-6.94,-6.06,0.206518319,0.264679172,521.07,2.173,225.6109123,1747,91,Low
36.85,52.96,220.5,153,106.06,33.38,106.06,86.22,0.215,0.217,-7.34,-5.24,0.214972439,0.226224246,520.03,2.602,235.665108,2816,96,Medium
20.98,46.53,26.45,126.27,34.7,27.76,34.7,67.36,0.201,0.214,-24.63,-6.09,0.235194793,0.259065497,520.03,4.358,239.1021049,2750,116,Medium
22.71,57.25,28.97,159.47,30.78,33.03,30.78,83.08,0.137,0.266,-20.4,-8.73,0.216763661,0.406204486,518.37,3.724,253.2147645,1471,67,Medium
21.59,48.66,22.22,45.99,48.43,42.63,48.43,52.06,0.201,0.115,-23.58,-8.03,0.156430033,0.24996844,520.3,7.278,271.6042696,1392,63,Medium
22.74,51.52,23.89,27.83,35.93,23.48,35.93,51.37,0.309,0.209,-10.71,-8.45,0.207846287,0.25079303,520.87,3.541,250.9594755,2365,100,Medium
22.36,42.05,20.78,36.9,23.76,34.01,23.76,47.03,0.125,0.193,-18.46,-6.78,0.252741732,0.28309167,518.4,3.835,261.0161901,1325,55,Medium
22.16,57.28,21.7,38.73,23.48,30.32,23.48,73.94,0.1,0.27,-21.75,-10.09,0.230133184,0.44177019,519.1,3.282,265.7016758,2019,84,Medium
22.16,43.48,28.27,41.45,34.94,38.49,34.94,46.88,0.15,0.145,-17.95,-7.37,0.227017391,0.278460825,520.43,5.222,248.6775107,1327,49,Medium
